t_us,A_percent
0.1669,8.5714
0.2696,7.7068
0.3851,6.6541
0.5006,5.3383
0.6162,4.1729
1.0526,1.4286
1.181,1.6917
1.2837,2.1805
1.3992,2.8571
1.5148,3.6842
1.6175,4.5489
1.7202,5.188
1.8485,5.6767
1.9512,5.8835
2.0668,5.9023
2.1823,5.5263
2.285,5.0376
2.4005,4.1917
2.516,3.7594
2.6444,2.8947
2.7471,2.5564
2.8498,2.4248
2.9653,2.2368
3.0809,2.2932
3.1836,2.4248
3.2863,2.9135
3.4018,3.0827
3.5173,3.3083
3.6329,3.3647
3.7484,3.3835
3.8639,3.0263
3.9795,2.594
4.0822,2.2556
4.1849,1.7669
4.3132,1.6541
4.4159,1.1654
4.5186,1.1278
4.647,1.5038
4.7497,1.485
4.8652,2.0677
4.9807,2.8195
5.0834,3.4586
5.2015,4.0526
5.3145,4.3797
5.4172,4.5113
5.5327,4.718
5.6483,4.4925
5.751,4.1729
5.8665,3.7218
5.982,2.9511
6.0847,2.5188
6.2003,1.6353
6.3158,0.8647
6.4313,0.9774
6.5469,0.6391
6.6624,0.7707
6.7651,1.3722
6.8806,1.6541
6.9833,1.8797
7.1117,3.0075
7.2144,3.0827
7.3171,3.2331
7.3299,3.3459
7.4454,3.9098
7.5481,3.6842
7.6508,3.3083
7.6637,3.1767
7.7792,3.2707
7.8819,3.0827
7.9846,2.218
8.0029,2.0086
8.113,2.5376
8.2285,1.5602
8.344,0.8647
8.4467,0.5827
8.5623,0.9962
8.6778,1.015
8.7805,1.2594
8.8832,1.1654
8.9089,0.9962
9.0116,1.2406
9.1142,1.9361
9.2298,1.8985
9.3453,1.5789
9.448,1.6541
9.5764,1.3722
9.6791,1.4474
9.7946,1.109
9.9101,1.2782
10.0128,1.485
10.1284,1.1278
10.2439,1.1278
10.3466,1.8609
10.475,1.203
10.5777,1.2406
10.6804,1.8797
10.7959,1.8609
10.9114,2.5752
11.0141,1.4286
11.1425,1.9925
11.2452,1.9549
11.3479,1.5414
11.4763,2.1429
11.5789,1.391
11.6945,1.5226
11.6945,1.6917
11.81,1.5414
11.9127,0.5639
12.0282,2.0677
12.1438,2.0677
12.2465,1.203
12.362,1.2218
12.4775,0.5639
12.5802,1.3534
12.6958,3.3647
12.8113,1.6541
12.9268,2.0301
13.0424,1.8045
13.1451,2.8195
13.2606,1.8233
13.2606,2.2556
13.3761,1.3534
13.4788,1.391
13.5944,0.8835
13.7099,2.2744
13.8126,1.6917
13.9409,0.7519
14.0436,1.7293
14.1463,1.8421
14.1463,2.3684
14.2747,3.7218
14.3774,2.8571
14.4801,1.9173
14.6085,1.7293
14.7112,1.9549
14.8267,0.0752
14.9422,0.8647
15.0449,2.2932
15.1605,1.5226
15.276,1.1466
15.3787,2.1429
15.4942,2.2368
15.7253,0.0752
15.8408,2.0677
15.9435,2.1429
16.0591,2.1805
16.0719,1.2406
16.1746,3.0451
16.2901,1.109
16.3928,3.6842
16.611,0.3383
16.7394,2.2556
16.8421,5.1128
16.9448,1.8045
16.9576,1.4098
17.0732,2.1429
17.1759,2.2556
17.2786,1.5038
17.4069,3.7218
17.5096,0.3759
17.638,1.6541
17.7407,0.2632
17.8434,4.5113
17.9718,3.1767
18.0745,6.1466
18.2798,5.7707
18.5237,0.1504
18.5366,1.4662
18.6393,1.1278
18.742,1.3158
18.973,3.2331
19.0757,1.6353
19.1913,1.6353
19.2041,1.9549
19.3068,2.0301
19.4095,0.0752
19.7561,1.8421
19.7561,4.1541
