 # FREQUENCY_MHZ      FFTREAL      FFTIMAG     EFFT
  0.00000000   4.84464380   0.00000000   0.45387756
  0.07441860   4.94275195   0.15901399   0.45387756
  0.14883721   5.11961670   0.14176871   0.45387756
  0.22325581   5.17883736  -0.01972069   0.45387756
  0.29767441   5.05628886  -0.15880273   0.45387756
  0.37209302   4.83503423  -0.12886101   0.45387756
  0.44651162   4.70346138   0.11084593   0.45387756
  0.52093022   4.83548481   0.38616946   0.45387756
  0.59534883   5.12300332   0.41370069   0.45387756
  0.66976743   5.21816609   0.19818388   0.45387756
  0.74418604   4.99733425   0.09328728   0.45387756
  0.81860464   4.74415238   0.35982255   0.45387756
  0.89302324   4.82628832   0.87153152   0.45387756
  0.96744185   5.33576315   1.24204906   0.45387756
  1.04186045   5.98881106   1.17881819   0.45387756
  1.11627905   6.40137555   0.77679958   0.45387756
  1.19069766   6.48504905   0.36568683   0.45387756
  1.26511626   6.41438380   0.12947389   0.45387756
  1.33953486   6.36475632   0.06368365   0.45387756
  1.41395347   6.45582519   0.06105128   0.45387756
  1.48837207   6.65249089  -0.06874641   0.45387756
  1.56279067   6.72261485  -0.34201099   0.45387756
  1.63720928   6.60990905  -0.49283654   0.45387756
  1.71162788   6.60344059  -0.41426466   0.45387756
  1.78604649   6.88200366  -0.38358023   0.45387756
  1.86046509   7.24394058  -0.65562566   0.45387756
  1.93488369   7.39653209  -1.17534153   0.45387756
  2.00930230   7.21007035  -1.69252451   0.45387756
  2.08372090   6.80355982  -1.91616781   0.45387756
  2.15813950   6.55204805  -1.78161236   0.45387756
  2.23255811   6.69962377  -1.65436270   0.45387756
  2.30697671   6.96505732  -1.90984412   0.45387756
  2.38139531   6.90888226  -2.39414933   0.45387756
  2.45581392   6.54522284  -2.67510560   0.45387756
  2.53023252   6.23101670  -2.64583270   0.45387756
  2.60465112   6.14253180  -2.53576405   0.45387756
  2.67906973   6.19680682  -2.51584383   0.45387756
  2.75348833   6.30108728  -2.62543939   0.45387756
  2.82790693   6.35160002  -2.89201078   0.45387756
  2.90232554   6.20560540  -3.21188175   0.45387756
  2.97674414   5.92681635  -3.37071650   0.45387756
